title,overview,genres,release_date,runtime,vote_average
Tape,"A three-character ensemble piece set within the confines of a tawdry motor lodge in Lansing, Michigan. After 10 years apart, three disparate people come together to play out the unresolved drama of their final days in high school. Intrigued, we watch as layers of denial are slowly peeled away. Suspense builds as each character is provoked into revealing his or her true nature and motivation. Mesmerized, we are drawn into their lives as they choose which cards to play and which cards to hold.","[{'id': 18, 'name': 'Drama'}]",2001-01-26,86.0,6.9
Crimes of Passion,"Joanna Crane lives a double life. During the day she works as fashion designer but during the night she is the high class prostitute China Blue. As she is accused for industrial spying, Bobby Grady is hired to shadow her. However, they fall in love.  Meanwhile a psychopathic preacher starts stalking her.","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}]",1984-10-19,112.0,5.9
Osaka Elegy,Ayako becomes the mistress of her boss so she can pay her father's debt and prevent him from going to prison for embezzlement.,"[{'id': 18, 'name': 'Drama'}]",1936-05-28,71.0,6.3
Succubus,"Janine Reynaud stars as a nightclub stripper who free-floats through a spectral 60's landscape littered with dream-figures, dancing midgets and bizarre S&amp;M games.","[{'id': 27, 'name': 'Horror'}, {'id': 10769, 'name': 'Foreign'}]",1968-04-19,84.0,6.4
Midnight Special,A father and son go on the run after the dad learns his child possesses special powers.,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",2016-02-18,112.0,6.2
Art & Copy,Art &amp; Copy reveals the stories behind and the personal odysseys of some of the most influential advertising visionaries of our time and their campaigns.,"[{'id': 99, 'name': 'Documentary'}]",2009-08-21,89.0,7.0
Songs From the North,"Interweaving footage from the director’s three visits to North Korea with songs, spectacle, popular cinema and archival footage, Songs from the North takes a different look at this enigmatic country typically seen through the distorted lens of jingoistic propaganda and derisive satire. Challenging the meaning of freedom, love, patriotism and ultimately the human condition, it tries to understand, on their own terms, the psychology and popular imaginary of the North Korean people and the political ideology of absolute love which continues to drive the nation towards its uncertain future.",[],2014-08-08,72.0,8.3
Auschwitz: The Nazis and the 'Final Solution',"An in-depth visual and verbal account of one of the most notorious episodes of World War 2. Using location shots and combining CGI, for a 3-D realism, this is a documentary, through a timeline, showing its conception, ideals, horrors and liberation of the Death Camp that is Auschwitz and its role in ""The Final Solution"". Using reconstructions of key events by actors playing major Nazi hierarchical roles and real interviews from parties of all sides; ex-prisoners, old Schutzstaffel (SS) members and witnesses. Using archive footage conjoined with reflective, contemporary imagery it is a vivid and thorough historical telling of the atrocities of a political ideology that gave nothing but fear and death.","[{'id': 10752, 'name': 'War'}, {'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",2005-01-11,285.0,8.0
Radical Grace,"Radical Grace follows three fearless nuns who risk their place in the Catholic Church to follow another higher calling: social justice. When the Vatican reprimands the sisters – citing their “radical feminism” – they become the spiritual and symbolic center of a battle for the heart of the Catholic Church. From their cross-country Nuns on the Bus tour, to serving those on the margins, to a continued struggle for women’s religious equality under Pope Francis, these sisters are transforming American politics — and the Church itself.","[{'id': 99, 'name': 'Documentary'}]",2015-04-28,80.0,0.0
One on One,"On May 9th, a female high school student was brutally murdered. There are 7 suspects and 7 shadows that terrorize them. Who are they and which one of them is you?","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",2014-05-22,122.0,5.5
The Thirteenth Tale,"Margaret Lea, a young biographer, attempts to interview writer Vida Winter, whose health is deteriorating. Vida has previously denied access to the secrets of her life and childhood home. Vida tells her story to Margaret, helping Margaret to confront her past.","[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",2013-12-30,90.0,6.0
ID:A,"A woman wakes up in a river. Wounded and without memory, then races to elude mysterious followers and recover from amnesia.","[{'id': 53, 'name': 'Thriller'}]",2011-11-24,104.0,6.7
Big Bad Wolves,"A series of brutal murders puts the lives of three men on a collision course: The father of the latest victim now out for revenge, a vigilante police detective operating outside the boundaries of law, and the main suspect in the killings - a religious studies teacher arrested and released due to a police blunder.","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2013-04-21,110.0,6.5
Viola,"Several actresses get caught up in a web of romantic intrigue while performing in a production of Shakespeare's ""Twelfth Night.""","[{'id': 18, 'name': 'Drama'}]",2012-09-09,65.0,6.5
